time,open,high,low,close,volume
1514764800000.0,0.053586,0.053613,0.053496,0.05352,162.312
1514764860000.0,0.053522,0.053599,0.053522,0.05358,194.671
1514764920000.0,0.05358,0.05358,0.053474,0.053579,228.432
1514764980000.0,0.053579,0.053598,0.053519,0.053529,249.478
1514765040000.0,0.053558,0.05364,0.05353,0.053621,256.474
1514765100000.0,0.053573,0.053654,0.053567,0.053588,194.333
1514765160000.0,0.053585,0.053686,0.053585,0.053602,235.86
1514765220000.0,0.053603,0.05369,0.053597,0.053638,153.643
1514765280000.0,0.053638,0.053697,0.053585,0.053692,211.891
1514765340000.0,0.053691,0.05372,0.053613,0.053718,158.959
1514765400000.0,0.053636,0.053718,0.053618,0.053623,173.151
1514765460000.0,0.053624,0.053706,0.053623,0.053638,262.749
1514765520000.0,0.053638,0.053855,0.053638,0.053744,303.799
1514765580000.0,0.053733,0.053878,0.053733,0.053878,355.845
1514765640000.0,0.053876,0.053877,0.053803,0.053868,266.227
1514765700000.0,0.053865,0.053925,0.053816,0.053895,309.492
1514765760000.0,0.053873,0.053967,0.053861,0.053902,196.086
1514765820000.0,0.053956,0.054019,0.053903,0.054009,358.912
1514765880000.0,0.054009,0.054042,0.053921,0.053959,204.08
1514765940000.0,0.054005,0.054014,0.053842,0.053989,254.159
1514766000000.0,0.053941,0.053964,0.053844,0.053892,202.13
1514766060000.0,0.053889,0.053995,0.05384,0.053924,227.194
1514766120000.0,0.053856,0.05398,0.053855,0.053915,182.211
1514766180000.0,0.053875,0.053914,0.05384,0.05384,199.991
1514766240000.0,0.05384,0.053892,0.05384,0.053841,153.083
1514766300000.0,0.053869,0.053874,0.053795,0.053799,200.575
1514766360000.0,0.053847,0.053895,0.053613,0.053775,317.975
1514766420000.0,0.05376,0.053792,0.053585,0.053721,152.804
1514766480000.0,0.0537,0.053768,0.053634,0.053721,211.226
1514766540000.0,0.053699,0.053829,0.053668,0.05375,227.955
1514766600000.0,0.05375,0.053849,0.053705,0.053776,329.816
1514766660000.0,0.053831,0.053875,0.053775,0.053842,160.416
1514766720000.0,0.05384,0.053893,0.053779,0.053834,302.602
1514766780000.0,0.053834,0.053857,0.053651,0.053771,364.25
1514766840000.0,0.053771,0.053945,0.053745,0.05382,198.412
1514766900000.0,0.05382,0.053894,0.053786,0.053816,150.82
1514766960000.0,0.05381,0.05396,0.053805,0.053839,194.055
1514767020000.0,0.053837,0.053917,0.053781,0.053917,185.507
1514767080000.0,0.053808,0.053934,0.053807,0.05392,146.289
1514767140000.0,0.05392,0.05392,0.05381,0.053811,163.005
1514767200000.0,0.053811,0.053863,0.053763,0.053856,139.45
1514767260000.0,0.053856,0.053886,0.053772,0.053823,178.83
1514767320000.0,0.053777,0.053823,0.053681,0.053687,218.553
1514767380000.0,0.053697,0.053741,0.053638,0.053729,163.711
1514767440000.0,0.053728,0.053735,0.053661,0.053735,114.913
1514767500000.0,0.053734,0.05378,0.053681,0.053749,274.253
1514767560000.0,0.053699,0.053756,0.053675,0.053733,164.436
1514767620000.0,0.053733,0.053756,0.053493,0.053692,318.757
1514767680000.0,0.053623,0.053689,0.053472,0.053505,254.659
1514767740000.0,0.053575,0.053575,0.053401,0.05352,284.161
1514767800000.0,0.05352,0.053597,0.053421,0.053516,123.198
1514767860000.0,0.053587,0.053613,0.053464,0.053606,188.126
1514767920000.0,0.053527,0.053602,0.053472,0.053504,171.321
1514767980000.0,0.053557,0.053677,0.053503,0.053625,172.983
1514768040000.0,0.053625,0.053718,0.053578,0.053644,238.032
1514768100000.0,0.053644,0.053716,0.053609,0.053672,195.422
1514768160000.0,0.053673,0.053774,0.053671,0.05375,208.11
1514768220000.0,0.05375,0.053862,0.053689,0.053803,246.656
1514768280000.0,0.053753,0.053861,0.05373,0.053837,250.047
1514768340000.0,0.053836,0.053837,0.053749,0.053767,176.978
1514768400000.0,0.053828,0.05383,0.053763,0.053763,109.586
1514768460000.0,0.0538,0.053825,0.05375,0.053754,194.703
1514768520000.0,0.053782,0.053824,0.053751,0.053767,138.216
1514768580000.0,0.053817,0.05382,0.053751,0.053817,120.901
1514768640000.0,0.053817,0.053818,0.05375,0.053756,159.572
1514768700000.0,0.053756,0.053827,0.05375,0.053827,114.419
1514768760000.0,0.05377,0.053909,0.053767,0.053858,207.336
1514768820000.0,0.053857,0.053929,0.053778,0.053862,141.288
1514768880000.0,0.053862,0.053951,0.05379,0.05385,231.699
1514768940000.0,0.053811,0.053884,0.053807,0.053815,254.817
1514769000000.0,0.053815,0.053858,0.053778,0.05381,155.796
1514769060000.0,0.05381,0.053962,0.053777,0.053778,260.502
1514769120000.0,0.053778,0.053844,0.053755,0.053762,301.188
1514769180000.0,0.053827,0.053965,0.053755,0.053831,185.146
1514769240000.0,0.053811,0.053906,0.053762,0.053801,200.224
1514769300000.0,0.053853,0.053906,0.053799,0.053875,244.085
1514769360000.0,0.053814,0.053941,0.053814,0.053937,209.356
1514769420000.0,0.053882,0.053941,0.053822,0.053897,192.759
1514769480000.0,0.053896,0.053907,0.053822,0.053822,230.615
1514769540000.0,0.053875,0.053875,0.0538,0.053809,297.959
1514769600000.0,0.053808,0.05387,0.0538,0.053841,225.638
1514769660000.0,0.053841,0.053862,0.053768,0.053799,183.465
1514769720000.0,0.053847,0.053871,0.053769,0.053823,169.871
1514769780000.0,0.053823,0.053931,0.053772,0.053839,231.662
1514769840000.0,0.053893,0.053925,0.053839,0.0539,107.56
1514769900000.0,0.053848,0.053915,0.053845,0.053862,102.996
1514769960000.0,0.053862,0.053935,0.053845,0.053856,185.345
1514770020000.0,0.053928,0.053928,0.053852,0.053873,77.975
1514770080000.0,0.053873,0.053933,0.053854,0.05387,122.007
1514770140000.0,0.05387,0.053926,0.05384,0.053894,184.243
1514770200000.0,0.053847,0.0539,0.053782,0.053785,193.024
1514770260000.0,0.053841,0.053946,0.053755,0.053925,353.413
1514770320000.0,0.053957,0.054002,0.053875,0.053897,285.339
1514770380000.0,0.053897,0.053979,0.05387,0.053912,210.51
1514770440000.0,0.053922,0.053992,0.053874,0.0539,225.179
1514770500000.0,0.053902,0.054037,0.0539,0.053947,299.006
1514770560000.0,0.053949,0.054047,0.053902,0.053933,323.299
1514770620000.0,0.053933,0.053985,0.05391,0.053971,156.958
1514770680000.0,0.053971,0.054016,0.05391,0.054013,141.156
1514770740000.0,0.054013,0.054086,0.05395,0.05399,170.813
1514770800000.0,0.05399,0.05409,0.053971,0.05402,110.602
1514770860000.0,0.054054,0.054117,0.053973,0.054063,239.029
1514770920000.0,0.054063,0.054151,0.054007,0.05413,121.403
1514770980000.0,0.054128,0.054132,0.054057,0.054075,193.685
1514771040000.0,0.054129,0.054154,0.05406,0.054116,287.006
1514771100000.0,0.054063,0.0542,0.054063,0.054142,192.68
1514771160000.0,0.054144,0.0542,0.054119,0.054197,274.251
1514771220000.0,0.0542,0.0543,0.054142,0.054219,169.157
1514771280000.0,0.0542,0.054243,0.054148,0.054169,135.219
1514771340000.0,0.054199,0.05425,0.054148,0.05418,172.68
1514771400000.0,0.054235,0.054298,0.054179,0.054273,276.905
1514771460000.0,0.054273,0.054273,0.054152,0.054266,148.602
